id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29300356,A quiet apartment in the EU district.,105139914,Joao,,Bruxelles,50.84765,4.37723,Entire home/apt,95,2,40,2019-08-12,1.35,1,230
29304321,Appartement design place Stephanie,46821923,Emma,,Ixelles,50.8341,4.35857,Entire home/apt,70,2,15,2018-12-09,0.47,1,0
29305378,The books studio Brussels,19034643,Christophe,,Bruxelles,50.82456,4.36608,Entire home/apt,95,3,0,,,1,87
29306202,Light and spacious penthouse connected to Europe!,27593474,Sam,,Anderlecht,50.83668,4.33164,Entire home/apt,47,2,159,2020-02-05,4.78,1,1
29326251,Lovely apartment in Brussels w/ free parking spot,60018377,Nathalie,,Auderghem,50.81728,4.4103,Entire home/apt,140,2,17,2021-06-19,0.52,1,163
29334177,Grand-Place de Bruxelles: calme et lumineux appart,220985712,Frédéric,,Bruxelles,50.84635,4.35728,Entire home/apt,87,1,183,2020-02-06,5.51,1,225
29356277,Cozy studio - On the Place du Grand Sablon,19293722,Pauline Et Elliot,,Bruxelles,50.84253,4.35478,Entire home/apt,46,7,46,2019-09-25,1.52,61,90
29365121,Penthouse au Parvis St Pierre,219714367,David X,,Uccle,50.80445,4.33839,Entire home/apt,55,1,15,2019-06-12,0.58,3,41
29366982,Parvis st pierre 2 chambres,219714367,David X,,Uccle,50.80358,4.34035,Entire home/apt,60,1,79,2019-06-29,2.57,3,313
29367027,Studio/chambre au Parvis de st Pierre,219714367,David X,,Uccle,50.80507,4.34043,Entire home/apt,45,1,6,2018-11-26,0.20,3,75
29369634,European commission,185540700,Maria,,Etterbeek,50.83859,4.40395,Entire home/apt,199,2,5,2019-10-17,0.24,1,365
29390598,Huge Loft in heart of brussels!,4119446,Jonathan,,Bruxelles,50.84577,4.3462,Entire home/apt,140,2,125,2020-01-18,3.87,4,0
29432506,Chambre privée dans bel appartement,140939879,Astrid,,Woluwe-Saint-Lambert,50.8485,4.41974,Private room,55,1,11,2019-03-28,0.33,1,360
